episode, episode_reward, mean_reward
0,-110.07307016425199,-110.07307016425199
1,-227.44326970543713,-168.75816993484455
2,-134.3349677816259,-157.283769217105
3,-334.30211441718427,-201.5383555171248
4,-413.6602396212169,-243.96273233794324
5,-156.76960309770448,-229.43054413123676
6,-337.9397752697986,-244.93186286531702
7,-324.0893010044952,-254.82654263271434
8,-431.62423850668233,-274.47073106315526
9,-101.55789695451638,-257.17944765229134
10,-114.50258623719051,-244.20882388728216
11,-81.20023526748996,-230.62477483563282
12,-79.20968143010997,-218.9774599582849
13,-286.8047452409651,-223.82226604990493
14,-105.53806392570483,-215.93665257495826
15,-108.16807362359197,-209.20111639049784
16,-454.85416043157016,-223.65129545173738
17,-109.54952606627964,-217.3123082636564
18,-88.06600480754015,-210.5098712396503
19,-148.88064396568421,-207.428409875952
20,-209.28976971896697,-207.51704605895273
21,-117.44293920688082,-203.42276847476762
22,-229.33350422576,-204.54932220307165
23,-192.47583647753817,-204.04626029784106
24,-104.79255702387529,-200.0761121668824
25,-84.67652793700043,-195.63766661957925
26,-187.52465816568463,-195.33718482499057
27,-125.77864457254083,-192.85295124454592
28,-438.3646894034875,-201.31887325002666
29,-71.47905782661431,-196.9908794025796
30,-120.26522639652049,-194.515858337868
31,-141.38500024232263,-192.85551902238223
32,-99.14395015210884,-190.01577451116182
33,-71.90078453131333,-186.54180421763687
34,-88.81385307372165,-183.74957704209643
35,-326.7589168181139,-187.72205870254137
36,-112.25928301374721,-185.68252422446585
37,-191.88308007998694,-185.84569674697957
38,-99.57281671860382,-183.63357161804683
39,-588.6134932934183,-193.75806965993115
40,-89.06940098766616,-191.204687497193
41,-186.67199075540964,-191.09676614619815
42,-192.87621506756818,-191.13814867925325
43,11.300058413767957,-186.53728033623003
44,-74.63622962971584,-184.05059032052972
45,-160.99120400556882,-183.54929931368275
46,-140.10061677174272,-182.6248592595989
47,-136.5462094025346,-181.66488738757675
48,-62.64742474271502,-179.23595957849795
49,-76.02155328300812,-177.17167145258816
50,-210.71026710185336,-177.82929097512277
51,-235.01041483557157,-178.92892797243908
52,-381.01202369058734,-182.7418165708947
53,-62.64803459786582,-180.51785764546824
54,-79.06160245243062,-178.67319846014027
55,-227.8069276216604,-179.55058648088172
56,-97.84288547047898,-178.11711804210273
57,-89.98794130936041,-176.5976494777451
58,-139.17650819284668,-175.96339284579767
59,-36.994578123861,-173.6472459337654
60,-97.22791742309464,-172.39447005654128
61,-366.3574665564737,-175.52290548395953
62,-72.96753855149689,-173.89504251677758
63,-499.8785244824089,-178.9885344224906
64,-77.79917679627839,-177.431775074395
65,-311.16139958587235,-179.45798150638709
66,-411.3534129976882,-182.91910734954084
67,-254.77366467296184,-183.97579201606175
68,-230.78196535919955,-184.6541423543681
69,-176.83243148474392,-184.54240362765918
70,-80.40574237885599,-183.07569008894365
71,-166.57877449536988,-182.8465662612551
72,-135.66886349613475,-182.20029636036304
73,-203.7877282497056,-182.4920184129217
74,-160.0737084495076,-182.19310761340952
75,-165.08773125390076,-181.96803687183706
76,-4.518387220503854,-179.66349596727426
77,-93.18258089964304,-178.55476628692003
78,-90.99791217882468,-177.44645167795682
79,-259.6534020370408,-178.47403855744537
80,-80.70703565726704,-177.2670385216407
81,-164.42646600448404,-177.1104461738705
82,-59.8452983458304,-175.69761306750857
83,-106.84622072400205,-174.87795363484778
84,-112.76602423076265,-174.14722505362326
85,-209.6193694133608,-174.55969184850395
86,-321.5159186114121,-176.24884388026152
87,-367.3991482282383,-178.4210064296703
88,-123.363371589928,-177.80238131911142
89,-271.32208679613535,-178.841489157745
90,-126.67083054948179,-178.26818521699485
91,-103.71382060979022,-177.45781168865568
92,-64.19300645995492,-176.23991055716428
93,-115.5140907095017,-175.59389119708277
94,-104.44744208941314,-174.84498120647572
95,-233.05997304590647,-175.45138737146976
96,-106.88163161941468,-174.74448267299496
97,-105.36444575333769,-174.0365231125903
98,-215.33441315318572,-174.45367351704073
99,-191.90372687528838,-174.62817405062322
100,10.178554482131986,-173.42565780415939
101,-293.85932351402,-174.08981834224522
102,-94.43577196233358,-173.69082638405231
103,-84.38998252461825,-171.19170506512665
104,-195.06342592854057,-169.00573692819987
105,-143.06534667721488,-168.86869436399502
106,-99.973824780972,-166.48903485910677
107,-157.2854959123361,-164.82099680818513
108,-79.91255668328782,-161.30387998995118
109,-150.37383291732343,-161.79203934957926
110,-240.05791258935304,-163.04759261310085
111,-159.79274718240464,-163.83351773225002
112,-95.6322172046602,-163.99774308999548
113,-42.95102885550885,-161.55920592614095
114,-55.5285312181135,-161.05911059906504
115,-178.09237587819334,-161.75835362161106
116,-261.3072341399668,-159.822884358695
117,-106.04570621852932,-159.78784616021753
118,-122.03043945893626,-160.1274905067315
119,-133.69611652347297,-159.9756452323094
120,-107.76220766648859,-158.96036961178459
121,-195.70265199657624,-159.74296673968155
122,-192.62731034768126,-159.37590480090077
123,-83.79455134079399,-158.28909194953332
124,-68.53840673889786,-157.92655044668356
125,-172.4696772748516,-158.80448194006206
