episode,episode_reward,mean_reward,method
0,-293.0831591219345,-293.0831591219345,REINFORCE
1,-487.5695233792858,-390.32634125061014,REINFORCE
2,-122.70763047842969,-301.12010432655,REINFORCE
3,-139.22667691742296,-260.64674747426824,REINFORCE
4,-393.7517044889188,-287.2677388771984,REINFORCE
5,-128.41109156196322,-260.79163099132586,REINFORCE
6,-422.05208814072665,-283.828839155526,REINFORCE
7,-306.5697377134992,-286.6714514752726,REINFORCE
8,-268.71447905370746,-284.6762323173209,REINFORCE
9,-315.99557013489095,-287.8081660990779,REINFORCE
10,-106.78214672307858,-271.35125524671435,REINFORCE
11,-155.65422350018108,-261.70983593450325,REINFORCE
12,-91.85593576099399,-248.64415130577174,REINFORCE
13,-446.95759002720547,-262.80939692873125,REINFORCE
14,-153.00754314832804,-255.48927334337105,REINFORCE
15,-349.78616535990375,-261.38282909440437,REINFORCE
16,-165.09573055131898,-255.71888212128172,REINFORCE
17,-240.47111312233335,-254.87178384356235,REINFORCE
18,-125.84202959031383,-248.08074414602297,REINFORCE
19,-429.46616840786993,-257.15001535911534,REINFORCE
20,-193.0109165064685,-254.09577255660835,REINFORCE
21,-134.75055656912826,-248.6709900117229,REINFORCE
22,-178.6353817617204,-245.6259635660706,REINFORCE
23,-127.69106820017116,-240.71200959249143,REINFORCE
24,-238.91278347367717,-240.64004054773886,REINFORCE
25,-154.37800501861773,-237.32226995046497,REINFORCE
26,-348.18725545129837,-241.42838052456992,REINFORCE
27,-498.9349200659562,-250.625042651048,REINFORCE
28,-150.21601709446742,-247.16266245944178,REINFORCE
29,-324.2536570785475,-249.73236228007863,REINFORCE
30,-205.60767872637737,-248.30898539124956,REINFORCE
31,-225.045939250775,-247.58201519935972,REINFORCE
32,-431.71693498752796,-253.16186125354662,REINFORCE
33,-258.6277351545606,-253.32262225063528,REINFORCE
34,-56.44562243887034,-247.6975651131563,REINFORCE
35,-282.8294125947973,-248.67344976542412,REINFORCE
36,-212.611564923449,-247.69880422915452,REINFORCE
37,-310.93445042758685,-249.36290018174483,REINFORCE
38,-106.0196635822227,-245.6874325766289,REINFORCE
39,-108.84988126874237,-242.26649379393174,REINFORCE
40,-420.3767507398595,-246.61064640236899,REINFORCE
41,-167.24148232353838,-244.72090440049206,REINFORCE
42,-534.7249011118746,-251.46518339378002,REINFORCE
43,-277.06149291315614,-252.0469177010386,REINFORCE
44,-57.698952284597574,-247.72807402511768,REINFORCE
45,-221.45561215792316,-247.15693354974388,REINFORCE
46,-69.49097751313855,-243.37680682556078,REINFORCE
47,-207.218680412499,-242.62351252528865,REINFORCE
48,-72.61906152381583,-239.15403393342183,REINFORCE
49,-458.4053825810006,-243.5390609063734,REINFORCE
50,-56.69259154115378,-239.8754046443103,REINFORCE
51,-81.56461164684447,-236.83096631743595,REINFORCE
52,-90.85576719153859,-234.0767172773247,REINFORCE
53,-229.46524474309015,-233.99131963780184,REINFORCE
54,-65.66891704355189,-230.93091231790638,REINFORCE
55,-246.94340314907694,-231.21684965417725,REINFORCE
56,-347.98693102794425,-233.26544757301528,REINFORCE
57,-189.51840521215888,-232.51118822196602,REINFORCE
58,-165.04196856279862,-231.36764212604794,REINFORCE
59,-69.87234435311544,-228.6760538298324,REINFORCE
60,-112.65914520236308,-226.77413729495586,REINFORCE
61,-205.8677379983547,-226.436937306301,REINFORCE
62,-102.33318658010232,-224.46703650112323,REINFORCE
63,-278.7753303020429,-225.31560359176262,REINFORCE
64,-131.82755143996988,-223.87732586635045,REINFORCE
65,-92.11537672231914,-221.88093269750146,REINFORCE
66,-299.34059109108875,-223.03704700188337,REINFORCE
67,-74.67017411858724,-220.85518122418785,REINFORCE
68,-145.86095274034102,-219.76830834761037,REINFORCE
69,-181.3117707038009,-219.21892923841307,REINFORCE
70,-255.50333236505412,-219.7299771697742,REINFORCE
71,-27.962468181518346,-217.0665395449373,REINFORCE
72,-178.93708591692047,-216.54421826236174,REINFORCE
73,-259.8426966360371,-217.12933283497898,REINFORCE
74,-260.65692045140383,-217.70970066986465,REINFORCE
75,-90.70573820492314,-216.03859590058912,REINFORCE
76,-169.3168897384824,-215.43182049588643,REINFORCE
77,-102.00436704786446,-213.97762237475794,REINFORCE
78,-64.69673851193994,-212.08799093345644,REINFORCE
79,-105.33601580410752,-210.7535912443396,REINFORCE
80,-74.37914762008924,-209.06995613786736,REINFORCE
81,-65.37617307631953,-207.31759292979967,REINFORCE
82,-179.47597067533843,-206.98215169781824,REINFORCE
83,-189.49147003459274,-206.77392929706556,REINFORCE
84,-57.563732969668266,-205.0185152226256,REINFORCE
85,-111.42143097187034,-203.93017703366334,REINFORCE
86,-119.9762245512665,-202.96518907409555,REINFORCE
87,-302.70378774282074,-204.0985822407856,REINFORCE
88,-161.41925102005757,-203.6190391933617,REINFORCE
89,-58.207794871150625,-202.00335870089268,REINFORCE
90,-84.5227311557216,-200.7123627938029,REINFORCE
91,-36.42191121534873,-198.9265970157762,REINFORCE
92,-101.72928444251608,-197.88146462251535,REINFORCE
93,-96.82435388229824,-196.80638897634282,REINFORCE
94,-54.739618461738935,-195.3109492867154,REINFORCE
95,-102.06613351289977,-194.3396491224048,REINFORCE
96,-312.060669488556,-195.55326788906618,REINFORCE
97,-127.76910616678303,-194.86159276945105,REINFORCE
98,-117.8610788740591,-194.0838098008107,REINFORCE
99,-126.62885047994746,-193.4092602076021,REINFORCE
100,-96.62568392060936,-191.44468545558885,REINFORCE
101,-349.92814962198065,-190.06827171801578,REINFORCE
102,-71.28747036869092,-189.5540701169184,REINFORCE
103,-72.11023201386887,-188.88290566788285,REINFORCE
104,-76.6395509696072,-185.71178413268973,REINFORCE
105,-55.72592946816226,-184.98493251175168,REINFORCE
106,-139.88778958836448,-182.16328952622808,REINFORCE
107,-89.00534924828901,-179.987645641576,REINFORCE
108,-102.07611468731984,-178.32126199791207,REINFORCE
109,-6.787379664739049,-175.2291800932106,REINFORCE
110,-87.21626849023696,-175.03352131088218,REINFORCE
111,-96.61418259551755,-174.44312090183553,REINFORCE
