episode,episode_reward,mean_reward,method
0,-154.35346648029417,-154.35346648029417,DQN
1,-69.52222706841665,-111.93784677435542,DQN
2,-344.38883142215684,-189.42150832362256,DQN
3,-68.82414301332969,-159.27216699604935,DQN
4,-213.8814120609478,-170.19401600902904,DQN
5,-347.2217867414795,-199.69864446443748,DQN
6,38.95610035853355,-165.6051094897273,DQN
7,-296.2021816910452,-181.92974351489204,DQN
8,-124.78783867098471,-175.5806429766801,DQN
9,-136.06612025107881,-171.62919070412,DQN
10,-399.8606912705778,-192.37750893743433,DQN
11,-141.89447714591742,-188.1705896214746,DQN
12,-298.38442957809673,-196.64857731044552,DQN
13,-16.61999045387786,-183.78939253497643,DQN
14,-150.52970809374233,-181.57208023889416,DQN
15,-122.37720802842028,-177.8724007257395,DQN
16,-324.38307080660206,-186.4906754363785,DQN
17,-82.14020338432941,-180.69342698904242,DQN
18,-112.67030627252034,-177.11326274080443,DQN
19,-63.192295669882284,-171.4172143872583,DQN
20,-68.64319369629303,-166.52321340197426,DQN
21,-89.69749979323772,-163.03113551066804,DQN
22,-188.4423832001434,-164.13597236673218,DQN
23,-111.81225409815897,-161.955817438875,DQN
24,-179.21252897142878,-162.64608590017713,DQN
25,-92.50868757738574,-159.94849365699287,DQN
26,-104.7658576623772,-157.90469232385894,DQN
27,-141.97663347769148,-157.33583307935297,DQN
28,-94.53100463649216,-155.17014933994395,DQN
29,-246.12847771045546,-158.20209361896102,DQN
30,-381.07381341535074,-165.3915039349736,DQN
31,-122.21397334174962,-164.0422061039353,DQN
32,-114.62437852356561,-162.54469617725744,DQN
33,-161.00942434793615,-162.49954112345387,DQN
34,-46.13817699505583,-159.17493071978535,DQN
35,-123.84080857076927,-158.19342732675716,DQN
36,-62.899632110645754,-155.61791934794334,DQN
37,-105.21567623330239,-154.29154452913698,DQN
38,-81.85588662592522,-152.43421996751619,DQN
39,-113.08294573495611,-151.45043811170217,DQN
40,-90.75200709679828,-149.9699885747533,DQN
41,-89.70191536842313,-148.53503445079306,DQN
42,-173.084532926694,-149.10595302000004,DQN
43,-145.0606739596102,-149.01401485953667,DQN
44,-102.04752045549539,-147.97031498389129,DQN
45,-125.81037791388557,-147.48857722149987,DQN
46,-104.91620149359132,-146.58278199324647,DQN
47,-91.22046268117651,-145.42940034091168,DQN
48,-72.30898717634113,-143.9371470110225,DQN
49,-46.926303298927664,-141.9969301367806,DQN
50,-95.78602606685732,-141.0908339785468,DQN
51,-93.28683448642707,-140.17152629600605,DQN
52,-95.01953752230217,-139.31960197952108,DQN
53,-75.92272118096571,-138.14558566843672,DQN
54,-186.98675367933663,-139.03360690499852,DQN
55,-81.68309136496823,-138.00949055606944,DQN
56,-149.44676964853363,-138.21014457523546,DQN
57,-255.9373346030408,-140.2399237136459,DQN
58,-34.82568805507488,-138.45324175333113,DQN
59,-61.50576375869642,-137.1707837867539,DQN
60,-142.20995380624515,-137.2533931313357,DQN
61,21.92251232676145,-134.68603981749547,DQN
62,-281.0112259707238,-137.00866181992765,DQN
63,-57.200709882131996,-135.76166257089955,DQN
64,-57.35612041288401,-134.5554234607762,DQN
65,-57.63791296896563,-133.39000663514273,DQN
66,-39.45668327741909,-131.9880167342812,DQN
