episode	episode_reward	mean_reward	method
0	-125.635329647556	-125.635329647556	DQN
1	-232.500682753848	-179.068006200702	DQN
2	-52.6081937693125	-136.914735390239	DQN
3	-112.029220003484	-130.69335654355	DQN
4	-224.325920888435	-149.419869412527	DQN
5	-129.280717969461	-146.063344172016	DQN
6	-316.733033307997	-170.444728334299	DQN
7	-198.469383732543	-173.947810259079	DQN
8	-52.4263475288716	-160.445425511279	DQN
9	-109.222109856172	-155.323093945768	DQN
10	-323.096015538163	-170.575177726895	DQN
11	-98.9253932857807	-164.604362356802	DQN
12	-346.400280905513	-178.588663783626	DQN
13	-403.424837479856	-194.648390476214	DQN
14	-100.986570069014	-188.404269115734	DQN
15	-99.3053142396991	-182.835584435982	DQN
16	-97.9432035735601	-177.841914973486	DQN
17	-76.9840153348144	-172.238698326893	DQN
18	-119.75451537919	-169.476372908593	DQN
19	-100.888509058228	-166.046979716075	DQN
20	-119.50206538877	-163.830555224298	DQN
21	-103.056519416474	-161.068099051215	DQN
22	-50.4086961386883	-156.256820663714	DQN
23	-98.1786996593054	-153.836898955197	DQN
24	14.9137125004123	-147.086874496973	DQN
25	-50.7162523463023	-143.380312106562	DQN
26	-102.860189193253	-141.879566813477	DQN
27	-73.5515914561919	-139.439281979288	DQN
28	-72.9037469331353	-137.144953184593	DQN
29	-138.839789829252	-137.201447739415	DQN
30	-67.2494267451285	-134.944930933148	DQN
31	-210.858160821649	-137.317219367164	DQN
32	-88.9984823272513	-135.853015214439	DQN
33	-89.6240717073076	-134.493340405406	DQN
34	-50.8362046064626	-132.103136525436	DQN
35	-62.2578368097212	-130.16298931111	DQN
36	-84.8086299895871	-128.937195815934	DQN
37	-2.30364650710169	-125.604733992017	DQN
38	-306.590954814294	-130.245406320794	DQN
39	-158.073167779393	-130.941100357259	DQN
40	-22.301800140153	-128.291361327573	DQN
41	-54.2890497274846	-126.529401527571	DQN
42	-98.0777446704636	-125.867735089034	DQN
43	-140.335543750081	-126.196548922239	DQN
44	-64.7540006482385	-124.831158960595	DQN
45	-52.0501318255143	-123.248962718528	DQN
46	-66.9213080306622	-122.050501980488	DQN
47	-57.4102157396345	-120.70382935047	DQN
48	-45.7566448581703	-119.174294973077	DQN
49	-37.7052952507362	-117.54491497863	DQN
50	-158.416153369255	-118.346311809819	DQN
51	-198.210429917711	-119.88216023497	DQN
52	-132.037295178313	-120.111502403713	DQN
53	-130.63719618752	-120.306422658968	DQN
54	-30.6658286863762	-118.676593677648	DQN
55	-55.2918901461523	-117.544723971729	DQN
56	-177.704607970735	-118.600160533115	DQN
57	-86.2901463981591	-118.043091323892	DQN
58	-37.390575284803	-116.676099526619	DQN
59	-213.684292092093	-118.292902736044	DQN
60	-62.800729754386	-117.383194982246	DQN
61	-50.036923241713	-116.296964792882	DQN
62	-14.1789699705795	-114.676044240147	DQN
63	-25.6091653672678	-113.284374257759	DQN
64	-84.6441786966726	-112.843755864511	DQN
65	-72.8709838787764	-112.238107804121	DQN
66	-77.2467110298525	-111.715848150774	DQN
67	-87.6737629913428	-111.3622880749	DQN
68	-290.813190842641	-113.963025796172	DQN
69	-99.469636065998	-113.755977371455	DQN
70	-89.0910394163666	-113.40858387913	DQN
71	-74.7017232714338	-112.870988592912	DQN
72	-20.2972678357461	-111.602855431855	DQN
73	-66.2439525139861	-110.989897284316	DQN
74	-40.2198109902219	-110.046296133728	DQN
75	-88.5841200026953	-109.763899079372	DQN
76	-63.8423887443433	-109.167515828268	DQN
77	-30.3953963103466	-108.157616860089	DQN
78	-16.7745382207165	-107.000869029211	DQN
79	-57.7154940818591	-106.384801842369	DQN
80	-73.9188952047791	-105.983988180177	DQN
81	-26.6533697425512	-105.016541613864	DQN
82	-86.1403193608197	-104.78911724937	DQN
83	-20.7634003124219	-103.788811095359	DQN
84	-76.5677814245876	-103.468563687467	DQN
85	-2.47477295021783	-102.294217283546	DQN
86	-23.5658120353424	-101.389293085291	DQN
87	-56.7693170004814	-100.882247902509	DQN
88	-78.6254071888425	-100.632171040557	DQN
89	-28.3297739409401	-99.8288110727838	DQN
90	-17.3099663182047	-98.9220105809752	DQN
91	-102.583461947609	-98.9618089653952	DQN
92	-83.2419493215497	-98.7927782165366	DQN
93	-27.00303726523	-98.0290575681184	DQN
94	-41.4577065653663	-97.4335696628263	DQN
95	-24.279892111348	-96.6715521883317	DQN
96	-7.73790087185569	-95.7547104221825	DQN
97	102.209834388706	-93.7346640465612	DQN
98	-63.8549380642979	-93.4328486325989	DQN
99	-38.239011724346	-92.8809102635164	DQN
100	-11.0072414418251	-91.7346293814591	DQN
101	-60.1664834668678	-90.0112873885893	DQN
102	-106.34783412674	-90.5486837921636	DQN
103	-69.9292538529435	-90.1276841306582	DQN
104	11.2448358080877	-87.7719765636929	DQN
105	-46.2262563991719	-86.9414319479901	DQN
106	-24.4080312229414	-84.0181819271395	DQN
107	-78.9488776934352	-82.8229768667484	DQN
108	-6.21303673201076	-82.3608437587798	DQN
109	-75.1223555623147	-82.0198462158412	DQN
110	-24.8020957307076	-79.0369070177667	DQN
111	-65.0443529215186	-78.698096614124	DQN
112	-47.5341065411153	-75.7094348704801	DQN
113	-67.8400502223452	-72.353586997905	DQN
114	-67.065164016174	-72.0143729373766	DQN
115	-10.1491418518906	-71.1228112134985	DQN
116	-159.938619302145	-71.7427653707843	DQN
117	-59.9534521484214	-71.5724597389204	DQN
118	-4.45727840680277	-70.4194873691966	DQN
119	-284.279326850126	-72.2533955471155	DQN
120	-180.324681102219	-72.86162170425	DQN
121	-157.600546279488	-73.4070619728802	DQN
122	27.629066085826	-72.626684350635	DQN
123	-43.8998910063111	-72.0838962641051	DQN
124	-21.59555294925	-72.4489889186017	DQN
125	-68.6307553734499	-72.6281339488732	DQN
126	41.8089104946748	-71.1814429519939	DQN
127	-60.4282526005567	-71.0502095634375	DQN
128	-196.052250953704	-72.2816946036432	DQN
129	-79.6516360180358	-71.689813065531	DQN
130	32.9743221661501	-70.6875755764183	DQN
131	7.45195726099267	-68.5044743955918	DQN
132	-29.1371303530625	-67.90586087585	DQN
133	-4.5500946221005	-67.0551211049979	DQN
134	18.6755468565658	-66.3600035903676	DQN
135	8.41255323480111	-65.6532996899224	DQN
136	-3.33161641186776	-64.8385295541452	DQN
137	-69.0292780625223	-65.5057858696994	DQN
138	-13.6289273267474	-62.5761655948239	DQN
139	-26.9942348362925	-61.2653762653929	DQN
140	21.1183222797142	-60.8311750411943	DQN
141	-93.2247709898579	-61.220532253818	DQN
142	-50.5119610611747	-60.7448744177251	DQN
143	-46.9772944903365	-59.8112919251276	DQN
144	74.734813095062	-58.4164037876946	DQN
145	-53.9578530672002	-58.4354810001115	DQN
146	31.7241030316069	-57.4490268894888	DQN
147	-59.2981528245537	-57.467906260338	DQN
148	-37.0386294874708	-57.380726106631	DQN
149	-46.6247245206222	-57.4699203993299	DQN
150	-251.636574121418	-58.4021246068515	DQN
151	21.1293461364745	-56.2087268463096	DQN
152	133.10039947714	-53.5573498997551	DQN
153	2.71015469441866	-52.2238763909357	DQN
154	-1.13101178945811	-51.9285282219665	DQN
155	-0.14263328686701	-51.3770356533737	DQN
156	-183.19309257567	-51.431920499423	DQN
157	149.342145224627	-49.0755975831952	DQN
158	-96.8447877333359	-49.6701397076805	DQN
159	-125.084968191151	-48.7841464686711	DQN
160	-83.2587410715459	-48.9887265818427	DQN
161	-67.9561751242819	-49.1679191006684	DQN
162	-7.61167309126293	-49.1022461318752	DQN
163	-42.7332996789057	-49.2734874749916	DQN
164	-110.625450211104	-49.5333001901359	DQN
165	25.2007503341642	-48.5525828480065	DQN
166	-137.603150837938	-49.1561472460874	DQN
167	10.9588519661603	-48.1698210965123	DQN
168	-103.560627181776	-46.2972954599037	DQN
169	-158.301702128474	-46.8856161205284	DQN
170	-101.115960734716	-47.0058653337119	DQN
171	-6.30945372015603	-46.3219426381992	DQN
172	-37.7861875604626	-46.4968318354463	DQN
173	-30.8811833586853	-46.1432041438933	DQN
174	-0.817548898756982	-45.7491815229787	DQN
175	-114.524882722127	-46.008589150173	DQN
176	-85.1444453177269	-46.2216097159068	DQN
177	-45.2781049803367	-46.3704368026067	DQN
178	-249.831704156183	-48.7010084619614	DQN
179	-9.25141079367555	-48.2163676290795	DQN
180	8.18967684350825	-47.3952819085967	DQN
181	45.4692823212798	-46.6740553879584	DQN
182	-249.392833394566	-48.3065805282958	DQN
183	-53.0222823942648	-48.6291693491142	DQN
184	-71.9021548149643	-48.582513083018	DQN
185	-77.9184152533661	-49.3369495060495	DQN
186	-92.3632122952196	-50.0249235086483	DQN
187	-58.9520051719302	-50.0467503903627	DQN
188	-54.3327701680788	-49.8038240201551	DQN
189	-33.3385718350464	-49.8539119990962	DQN
190	-66.128736322698	-50.3420996991411	DQN
191	-82.7216612379836	-50.1434816920449	DQN
192	-10.9265127503971	-49.4203273263333	DQN
193	-102.006959342682	-50.1703665471079	DQN
194	-129.109560998069	-51.0468850914349	DQN
195	13.5343262338193	-50.6687429079832	DQN
196	-101.337946347087	-51.6047433627355	DQN
197	-51.5625213529732	-53.1424669201523	DQN
198	-60.0263605311253	-53.1041811448206	DQN
199	13.9621785360819	-52.5821692422163	DQN
200	-75.1831256812983	-53.223928084611	DQN
201	-74.6547448384592	-53.368810698327	DQN
202	4.45529780528391	-52.2607793790067	DQN
203	-195.346814814604	-53.5149549886233	DQN
204	-75.5869314550532	-54.3832726612547	DQN
205	-104.107538514376	-54.9620854824068	DQN
206	-19.7539534475321	-54.9155447046527	DQN
207	-126.683342152186	-55.3928893492402	DQN
208	-15.6667103876523	-55.4874260857966	DQN
209	-85.6772662740517	-55.592975192914	DQN
210	-8.32271240134793	-55.4281813596204	DQN
211	-135.449524869579	-56.132233079101	DQN
212	-157.425550749782	-57.2311475211877	DQN
213	-79.3994433277566	-57.3467414522418	DQN
214	-227.486816329463	-58.9509579753747	DQN
215	-52.7667608676172	-59.3771341655319	DQN
216	-35.7382570235765	-58.1351305427462	DQN
217	-99.3220203954626	-58.5288162252166	DQN
218	-33.3559626717945	-58.8178030678666	DQN
219	-212.752226419449	-58.1025320635598	DQN
220	-53.9133553294473	-56.8384188058321	DQN
221	-210.50216714085	-57.3674350144457	DQN
222	-31.0426657647215	-57.9541523329512	DQN
223	-77.2274131657563	-58.2874275545456	DQN
224	-88.8362986607984	-58.9598350116611	DQN
225	-85.0901776264184	-59.1244292341908	DQN
226	-60.8777820945246	-60.1512961600828	DQN
227	-20.1638521306159	-59.7486521553834	DQN
228	-93.8845377967988	-58.7269750238143	DQN
229	-103.301399753924	-58.9634726611732	DQN
230	-61.5379252429538	-59.9085951352643	DQN
231	-35.0309236808287	-60.3334239446825	DQN
232	-43.0531580169834	-60.4725842213217	DQN
233	-44.4052219077228	-60.8711354941779	DQN
234	-88.6823553223928	-61.9447145159675	DQN
235	-40.911564085435	-62.4379556891699	DQN
236	-182.780672453841	-64.2324462495896	DQN
237	-92.1030624615771	-64.4631840935801	DQN
238	-67.0328086619021	-64.9972229069317	DQN
239	-78.8359501691628	-65.5156400602604	DQN
240	-55.9903155181806	-66.2867264382393	DQN
241	-108.983411474261	-66.4443128430834	DQN
242	-67.9718545033952	-66.6189117775056	DQN
243	-78.5144315763405	-66.9342831483656	DQN
244	-87.370917549064	-68.5553404548069	DQN
245	-99.8064565515291	-69.0138264896501	DQN
246	-82.1566613072723	-70.1526341330389	DQN
247	-64.2402499983124	-70.2020551047765	DQN
248	-81.1897803244027	-70.6435666131459	DQN
249	-100.92088000702	-71.1865281680098	DQN
250	-50.0492807450293	-69.1706552342459	DQN
251	-57.534273697956	-69.9572914325902	DQN
252	-98.3328470680475	-72.2716238980421	DQN
253	-38.8842973516716	-72.687568418503	DQN
254	-101.587444668772	-73.6921327472961	DQN
255	-77.4065963291208	-74.4647723777187	DQN
256	-71.6061305022267	-73.3489027569843	DQN
257	-32.7286858953465	-75.169611068184	DQN
258	-78.5882303014683	-74.9870454938653	DQN
259	-168.60313742593	-75.4222271862131	DQN
260	-54.1268923647245	-75.1309086991449	DQN
261	-57.3476728356296	-75.0248236762584	DQN
262	-56.0832381343108	-75.5095393266889	DQN
263	-57.141981801047	-75.6536261479103	DQN
264	-67.4114551897202	-75.2214861976964	DQN
265	-44.0732336989767	-75.9142260380278	DQN
266	-91.4113050303208	-75.4523075799517	DQN
267	-111.439127612558	-76.6762873757389	DQN
268	-69.7588013050361	-76.3382691169714	DQN
269	-107.783585108289	-75.8330879467696	DQN
270	-85.2158331387252	-75.6740866708097	DQN
271	-22.2149782765019	-75.8331419163731	DQN
272	-38.2695458364399	-75.8379754991329	DQN
273	-77.0649231965537	-76.2998128975116	DQN
274	-13.1060860693636	-76.4226982692177	DQN
275	-78.103681441026	-76.0584862564067	DQN
276	-107.031526497082	-76.2773570682002	DQN
277	-43.7780981924337	-76.2623570003212	DQN
278	-94.5550713774377	-74.7095906725337	DQN
279	-89.7844103738318	-75.5149206683353	DQN
280	-51.3706973254121	-76.1105244100245	DQN
281	-39.3466283577152	-76.9586835168145	DQN
282	-86.9727580194881	-75.3344827630637	DQN
283	-79.4555962173522	-75.5988159012945	DQN
284	-66.0580639318575	-75.5403749924635	DQN
285	-90.8548801742518	-75.6697396416723	DQN
286	-61.4135588433775	-75.3602431071539	DQN
287	-43.3601967081277	-75.2043250225159	DQN
288	-54.1910216215457	-75.2029075370506	DQN
289	-39.1307471901405	-75.2608292906015	DQN
290	-107.312475146222	-75.6726666788367	DQN
291	-83.712974440196	-75.6825798108589	DQN
292	-103.961488468048	-76.6129295680354	DQN
293	-54.2608711221221	-76.1354686858298	DQN
294	-62.3023601978171	-75.4673966778273	DQN
295	-60.0799318585357	-76.2035392587508	DQN
296	-107.56029286318	-76.2657627239117	DQN
297	-74.0681030545559	-76.4908185409276	DQN
298	-14.7109966128907	-76.0376649017452	DQN
299	-37.0945445047426	-76.5482321321535	DQN
300	-59.9138438084293	-76.3955393134248	DQN
301	-77.1020117193994	-76.4200119822342	DQN
302	-74.2612541787134	-77.2071775020741	DQN
303	-75.3553922035886	-76.007263275964	DQN
304	-84.7984953923487	-76.0993789153369	DQN
305	-59.5697081024358	-75.6540006112175	DQN
306	-95.6707486232161	-76.4131685629744	DQN
307	-44.0703694073023	-75.5870388355255	DQN
308	-74.1209089035829	-76.1715808206848	DQN
309	-55.8007442098248	-75.8728156000426	DQN
310	-102.034158606364	-76.8099300620928	DQN
311	-29.4441801644883	-75.7498766150418	DQN
312	-75.187779025005	-74.9274988977941	DQN
313	-16.7280397712414	-74.3007848622289	DQN
314	-75.7759528051268	-72.7836762269855	DQN
315	-52.7850491987658	-72.783859110297	DQN
316	-60.6368589720567	-73.0328451297818	DQN
317	-73.0977624468248	-72.7706025502955	DQN
318	-56.0010044888654	-72.9970529684662	DQN
319	-43.4663574343944	-71.3041942786156	DQN
320	-52.0547706766222	-71.2856084320873	DQN
321	-86.2656521416134	-70.043243282095	DQN
322	-65.9970900753425	-70.3927875252012	DQN
323	-80.337346451989	-70.4238868580635	DQN
324	-62.9293299953689	-70.1648171714092	DQN
325	-74.968135659704	-70.0635967517421	DQN
326	-38.1717279433741	-69.8365362102306	DQN
327	2.71973196816221	-69.6077003692428	DQN
328	-44.8379056378074	-69.1172340476529	DQN
329	-84.1242104858922	-68.9254621549726	DQN
330	-18.4033885454591	-68.4941167879976	DQN
331	-28.5872689173221	-68.4296802403626	DQN
332	-48.4992839938262	-68.484141500131	DQN
333	-25.6927049900322	-68.2970163309541	DQN
334	-82.9852280998026	-68.2400450587282	DQN
335	-60.8688975446129	-68.43961839332	DQN
336	-67.5847372166955	-67.2876590409485	DQN
337	-31.6558206546385	-66.6831866228791	DQN
338	-48.1479881858044	-66.4943384181182	DQN
339	-81.2070583828792	-66.5180495002553	DQN
340	-52.3546436421482	-66.481692781495	DQN
341	-58.0207172471994	-65.9720658392244	DQN
342	-55.5357549848453	-65.8477048440389	DQN
343	-94.4956422634632	-66.0075169509101	DQN
344	-157.449483750623	-66.7083026129257	DQN
345	-91.2419527674594	-66.622657575085	DQN
346	-131.845493676288	-67.1195458987751	DQN
347	-28.781831858809	-66.7649617173801	DQN
348	-79.1940023151902	-66.745003937288	DQN
349	-135.908997111277	-67.0948851083306	DQN
350	-57.9802423864227	-67.1741947247445	DQN
351	-33.9430789596839	-66.9382827773618	DQN
352	-91.7485574787638	-66.8724398814689	DQN
353	-132.070650434931	-67.8043034123015	DQN
354	-54.7976855849263	-67.3364058214631	DQN
355	-121.852762925643	-67.7808674874283	DQN
356	-111.852222113634	-68.1833284035424	DQN
357	-169.968160786841	-69.5557231524573	DQN
358	-141.51044751135	-70.1849453245561	DQN
359	-137.07161963492	-69.869630146646	DQN
360	-88.4666809989233	-70.213028032988	DQN
361	-29.3590808651193	-69.9331421132829	DQN
362	-162.074639619458	-70.9930561281344	DQN
363	-111.415354266942	-71.5357898527933	DQN
364	-124.762331194842	-72.1092986128446	DQN
365	-97.5508863238255	-72.644075139093	DQN
366	-179.355407646151	-73.5235161652513	DQN
367	-101.995042496843	-73.4290753140942	DQN
368	-145.442648198753	-74.1859137830314	DQN
369	-148.525887149267	-74.5933368034411	DQN
370	-8.95101685988834	-73.8306886406528	DQN
371	-34.398399483985	-73.9525228527276	DQN
372	-39.0827750902958	-73.9606551452662	DQN
373	-69.061143987058	-73.8806173531712	DQN
374	-8.67589789254567	-73.836315471403	DQN
375	-47.934355579015	-73.5346222127829	DQN
376	-21.1292193233347	-72.6755991410454	DQN
377	-94.1483340629006	-73.1793014997501	DQN
378	-135.768018735716	-73.5914309733329	DQN
379	-255.583822926726	-75.2494250988618	DQN
380	-142.133647259224	-76.1570545982	DQN
381	-97.0653688186802	-76.7342420028096	DQN
382	-85.3452983711729	-76.7179674063265	DQN
383	-37.5993057332742	-76.2994045014857	DQN
384	-71.8102372666296	-76.3569262348334	DQN
385	-117.114781743046	-76.6195252505213	DQN
386	-41.9569058563756	-76.4249587206513	DQN
387	-104.043429594295	-77.031791049513	DQN
388	-108.370926234895	-77.5735900956465	DQN
389	-62.2722508688316	-77.8050051324334	DQN
390	-113.997045912671	-77.8718508400979	DQN
391	-40.6116586060073	-77.440837681756	DQN
392	-9.45700665001285	-76.4957928635756	DQN
393	-55.1222764210692	-76.5044069165651	DQN
394	-87.055851377299	-76.7519418283599	DQN
395	-43.9930729393387	-76.591073239168	DQN
396	-76.2954186102017	-76.2784244966382	DQN
397	-32.7867436955501	-75.8656109030481	DQN
398	-62.0578548614296	-76.3390794855335	DQN
399	-86.6150523260673	-76.8342845637468	DQN
400	-59.3393987567995	-76.8285401132305	DQN
401	-65.2289760500161	-76.7098097565366	DQN
402	-106.207311441969	-77.0292703291692	DQN
403	-48.914654977884	-76.7648629569122	DQN
404	-22.1143784479134	-76.1380217874678	DQN
405	-40.650869973129	-75.9488334061747	DQN
406	-56.9376400100434	-75.561502320043	DQN
407	-38.6931474913701	-75.5077301008837	DQN
408	-92.4734134618693	-75.6912551464666	DQN
409	-73.2581261359904	-75.8658289657282	DQN
410	-39.4185908045819	-75.2396732877104	DQN
411	-35.1333500200036	-75.2965649862655	DQN
412	-108.520180709342	-75.6298890031089	DQN
413	-119.892906870907	-76.6615376741055	DQN
414	-92.7620254693016	-76.8313984007473	DQN
415	-104.747523208332	-77.351023140843	DQN
416	-75.0780556920187	-77.4954351080426	DQN
417	-40.3919223374067	-77.1683767069484	DQN
